City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esperance,AU,57.22,overcast clouds,-33.8667,121.9,Hospitality Esperance
2,Port Alfred,ZA,64.69,overcast clouds,-33.5906,26.891,The Halyards Hotel
4,Mataura,NZ,59.99,broken clouds,-46.1927,168.8643,Ellie's Villa
5,Kamina,CD,62.92,light rain,-8.7386,24.9906,Guest House Florvia
11,Urubamba,PE,68.9,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
14,Rikitea,PF,74.01,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Geraldton,AU,55.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
20,Sao Felix Do Xingu,BR,74.57,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
21,Castro,BR,62.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Ankazoabo,MG,70.14,broken clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
27,Bredasdorp,ZA,62.31,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
29,East London,ZA,64.44,overcast clouds,-33.0153,27.9116,Tu Casa
31,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
33,Capim Grosso,BR,72.54,overcast clouds,-11.3811,-40.0128,Hotel Veloso
37,Port Macquarie,AU,66.16,clear sky,-31.4333,152.9167,Rydges Port Macquarie
46,Portland,US,66.58,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
47,Yulara,AU,66.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
48,Victoria,HK,70.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
64,Kaitangata,NZ,59.94,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
66,Sao Borja,BR,71.94,overcast clouds,-28.6606,-56.0044,Hotel Executivo
70,Busselton,AU,57.04,scattered clouds,-33.65,115.3333,Observatory Guest House
71,Hermanus,ZA,63.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
73,Cape Town,ZA,66.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
74,Princeton,US,75.0,clear sky,25.5384,-80.4089,American Best Inn
75,Airai,TL,61.84,overcast clouds,-8.9266,125.4092,Juvinal Martin
79,Imphal,IN,56.3,scattered clouds,24.8167,93.95,State Guest House
89,Cidreira,BR,68.63,overcast clouds,-30.1811,-50.2056,Hotel Castelo
90,Takhatgarh,IN,65.7,clear sky,25.3333,73.0,Jagdamba bhawan
91,Boda,CF,70.7,light rain,4.3189,17.4695,
104,Lebu,CL,56.84,clear sky,-37.6167,-73.65,Hostal Las Lilas
105,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
108,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
110,Asosa,ET,65.86,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
114,Coos Bay,US,67.01,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
115,Kabompo,ZM,64.44,light rain,-13.5927,24.2008,Big Tree
116,Yangmei,CN,57.13,overcast clouds,24.1023,112.5618,
