City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Asuncion Nochixtlan,17.4667,-97.2333,51.55,95,96,6.15,MX,2021-11-08 02:42:16
1,Butaritari,3.0707,172.7902,82.06,70,13,10.85,KI,2021-11-08 02:41:56
2,Tual,-5.6667,132.75,84.79,73,36,7.31,ID,2021-11-08 02:39:45
3,La Ronge,55.1001,-105.2842,28.65,93,1,3.44,CA,2021-11-08 02:42:16
4,Hermanus,-34.4187,19.2345,56.89,73,56,3.78,ZA,2021-11-08 02:36:44
5,Hobart,-42.8794,147.3294,69.03,43,75,1.01,AU,2021-11-08 02:40:53
6,Esperance,-33.8667,121.9,67.84,56,100,12.57,AU,2021-11-08 02:38:02
7,Siavonga,-16.5382,28.7088,77.56,37,54,4.54,ZM,2021-11-08 02:42:17
8,Faanui,-16.4833,-151.75,79.52,74,23,9.53,PF,2021-11-08 02:42:17
9,Timizart,36.8,4.2667,52.32,94,100,8.72,DZ,2021-11-08 02:39:39
10,Ushuaia,-54.8,-68.3,42.46,75,40,8.05,AR,2021-11-08 02:35:22
11,Tuktoyaktuk,69.4541,-133.0374,21.2,86,90,10.36,CA,2021-11-08 02:39:35
12,Maxixe,-23.8597,35.3472,70.5,90,57,3.24,MZ,2021-11-08 02:42:18
13,Quang Ngai,15.1167,108.8,79.63,84,95,9.28,VN,2021-11-08 02:42:18
14,Avarua,-21.2078,-159.775,77.05,61,19,14.97,CK,2021-11-08 02:38:21
15,Busselton,-33.65,115.3333,67.08,48,3,10.04,AU,2021-11-08 02:33:22
16,Georgetown,5.4112,100.3354,84.88,82,20,0.0,MY,2021-11-08 02:40:52
17,Arlit,18.7369,7.3853,76.64,14,57,8.14,NE,2021-11-08 02:33:58
18,Akdepe,42.0551,59.3788,23.0,27,0,4.16,TM,2021-11-08 02:37:42
19,Bambous Virieux,-20.3428,57.7575,76.21,83,40,8.05,MU,2021-11-08 02:42:19
20,Weinan,34.5036,109.5089,40.69,35,0,3.94,CN,2021-11-08 02:42:20
21,Punta Arenas,-53.15,-70.9167,42.91,70,40,9.22,CL,2021-11-08 02:35:32
22,Dikson,73.5069,80.5464,9.36,95,100,0.98,RU,2021-11-08 02:32:46
23,Bone,51.9669,12.1396,46.62,87,97,14.54,DE,2021-11-08 02:42:21
24,Sanming,26.2486,117.6186,51.08,84,100,3.87,CN,2021-11-08 02:42:21
25,Jamestown,42.097,-79.2353,48.72,83,1,1.01,US,2021-11-08 02:35:20
26,Westport,41.1415,-73.3579,51.75,73,1,4.61,US,2021-11-08 02:40:55
27,Bengkulu,-3.8004,102.2655,82.06,70,100,5.23,ID,2021-11-08 02:42:22
28,Youhao,47.8667,128.8333,26.92,84,100,9.95,CN,2021-11-08 02:42:22
